species,genus,family
Bertiera viburnoides,Bertiera,Rubiaceae
Spigelia riedeliana,Spigelia,Loganiaceae
Spigelia spruceana,Spigelia,Loganiaceae
Plocama calcicola,Plocama,Rubiaceae
Stenostelma corniculatum,Stenostelma,Apocynaceae
Swertia swertopsis,Swertia,Gentianaceae
Ceropegia pachypodium,Ceropegia,Apocynaceae
Ceropegia mairei,Ceropegia,Apocynaceae
Plocama iljinii,Plocama,Rubiaceae
Psychotria hombroniana,Psychotria,Rubiaceae
Psychotria lagunensis,Psychotria,Rubiaceae
Psychotria oleifolia,Psychotria,Rubiaceae
Psychotria puberulina,Psychotria,Rubiaceae
Bathysa australis,Bathysa,Rubiaceae
Psychotria berryi,Psychotria,Rubiaceae
Psychotria bealananensis,Psychotria,Rubiaceae
Galium undulatum,Galium,Rubiaceae
Rogersonanthus arboreus,Rogersonanthus,Gentianaceae
Psychotria boenyana,Psychotria,Rubiaceae
Psychotria integristipulata,Psychotria,Rubiaceae
Psychotria desirei,Psychotria,Rubiaceae
Caa balansae,Caa,Apocynaceae
Psychotria moninensis,Psychotria,Rubiaceae
Neonauclea bartlingii,Neonauclea,Rubiaceae
Manettia congesta,Manettia,Rubiaceae
Dictyophleba leonensis,Dictyophleba,Apocynaceae
Empogona reflexa,Empogona,Rubiaceae
Bartonia paniculata,Bartonia,Gentianaceae
Hedythyrsus thamnoideus,Hedythyrsus,Rubiaceae
Ixora blumei,Ixora,Rubiaceae
Pruskortizia macrocarpa,Pruskortizia,Apocynaceae
Alyxia stellata,Alyxia,Apocynaceae
Neurocalyx calycinus,Neurocalyx,Rubiaceae
Ixora richardi-longii,Ixora,Rubiaceae
Ixora ferrea,Ixora,Rubiaceae
Ixora pubirama,Ixora,Rubiaceae
Ixora ravikumarii,Ixora,Rubiaceae
Ixora ridsdalei,Ixora,Rubiaceae
Bremeria pervillei,Bremeria,Rubiaceae
Ixora paludosa,Ixora,Rubiaceae
Neolamarckia cadamba,Neolamarckia,Rubiaceae
Cynanchica cristata,Cynanchica,Rubiaceae
Landolphia incerta,Landolphia,Apocynaceae
Landolphia micrantha,Landolphia,Apocynaceae
Picrophloeus rugulosus,Picrophloeus,Gentianaceae
Hoya inflata,Hoya,Apocynaceae
Landolphia glabra,Landolphia,Apocynaceae
Hedyotis rigida,Hedyotis,Rubiaceae
Cynanchica suffruticosa,Cynanchica,Rubiaceae
Landolphia bruneelii,Landolphia,Apocynaceae
Cynanchica rigidula,Cynanchica,Rubiaceae
Schizacme novae-zelandiae,Schizacme,Loganiaceae
Tabernaemontana polyneura,Tabernaemontana,Apocynaceae
Tabernaemontana glabra,Tabernaemontana,Apocynaceae
Gongronemopsis gazensis,Gongronemopsis,Apocynaceae
Tabernaemontana divaricata,Tabernaemontana,Apocynaceae
Tabernaemontana gamblei,Tabernaemontana,Apocynaceae
Hymenodictyon floribundum,Hymenodictyon,Rubiaceae
Oreopolus glacialis,Oreopolus,Rubiaceae
Pentanisia veronicoides,Pentanisia,Rubiaceae
Cascabela ovata,Cascabela,Apocynaceae
Faramea suerrensis,Faramea,Rubiaceae
Funastrum elegans,Funastrum,Apocynaceae
Utania stenophylla,Utania,Gentianaceae
Utania volubilis,Utania,Gentianaceae
Hunteria zeylanica,Hunteria,Apocynaceae
Tripterospermum taiwanense,Tripterospermum,Gentianaceae
Baissea axillaris,Baissea,Apocynaceae
Matelea greenmanii,Matelea,Apocynaceae
Canthium oblongum,Canthium,Rubiaceae
Periploca calophylla,Periploca,Apocynaceae
Motleyothamnus corymbosus,Motleyothamnus,Rubiaceae
Matelea porphyrantha,Matelea,Apocynaceae
Matelea squiresii,Matelea,Apocynaceae
Matelea sagittifolia,Matelea,Apocynaceae
