Anisopus exellii
Scleromitrion tenelliflorum
Ruehssia castillonii
Ruehssia zimapanica
Ruehssia rubrofusca
Ruehssia ulei
Apteranthes faucicola
Agathisanthemum chlorophyllum
Hexasepalum lippioides
Ditassa silveirae
Pentagonia gymnopoda
Notopleura nivea
Atractocarpus crosbyi
Ceropegia duplicata
Ceropegia hirtella
Ceropegia gondwanensis
Ceropegia longifoliata
Psychotria sylvieana
Psychotria hexamera
Psychotria angustibracteata
Desmidorchis awdeliana
Desmidorchis lavrani
Cynanchica tenuifolia
Cynanchica daphneola
Cynanchica supina
Ridsdalea quadrasii
Eumachia evansensis
Palicourea caquetensis
Palicourea agnata
Palicourea osaensis
Palicourea hazenii
Palicourea rosacea
Ibatia calchaquina
Petalostelma calcaratum
Leichhardtia venusta
Leichhardtia cymulosa
Leichhardtia kuniensis
Leichhardtia jensenii
Macropharynx gigantea
Gynochthodes lanuginosa
Orianthera exilis
Orianthera serpyllifolia
Orianthera wendyae
Carapichea panurensis
Comastoma nanum
Salzmannia naiguatensis
Dolichocarpa crouchiana
Thliphthisa elonea
Gentianella burkillii
Thliphthisa suberosa
Vincetoxicum coskuncelebianus
Vincetoxicum tsiukowense
Vincetoxicum fleckii
Vincetoxicum angustifolium
Vincetoxicum erectum
Vincetoxicum setosum
Ophiorrhiza cylindrica
Oldenlandia xanthochroa
Cruciata valentinae
Solenandra pulverulenta
Ophiorrhiza fangiana
Pyrostria orientalis
Eumachia wildemaniana
Ruehssia pinetorum
Ruehssia heringeri
Ruehssia ekmanii
Ruehssia popoluca
Hexasepalum vaginale
Schizocalyx veraguensis
Pentagonia costaricensis
Orthosia retinaculata
Notopleura leucantha
Dolichopentas liebrechtsiana
Atractocarpus carolinensis
Atractocarpus pseudoterminalis
Ceropegia ananthapuramense
Ceropegia maritae
Ceropegia edulissima
Ceropegia australis
Psychotria clausa
Manettia tomentosa
Hedyotis laotica
Picrophloeus collinus
Cynanchica mungieri
Tabernaemontana attenuata
Cosmostigma cordatum
Gongronemopsis angolensis
Tabernaemontana peschiera
Eumachia extensa
Eumachia novohiberiensis
Guettardella foveolata
Palicourea psilophylla
Palicourea corymbosa
Palicourea tetramera
Sinomarsdenia incisa
Palicourea tatei
Palicourea winkleri
Palicourea iodotricha
Cordiera sessilis
Matelea belizensis
Leichhardtia koniamboensis
Leichhardtia goromotoorum
Argocoffeopsis rupestris
Leichhardtia egregia
Leichhardtia grandis
Orianthera judithiana
Pleiocarpa picralimoides
Geniostoma hedyosmifolium
Thiollierea propinqua
Tobagoa perijaensis
Tapanhuacanga campinorum
Carapichea franquevilleana
Vincetoxicum henryi
Vincetoxicum jacquemontianum
Lemyrea utilis
Vincetoxicum renchangii
Vincetoxicum lycioides
Vincetoxicum auritum
Vincetoxicum floribundum
Vincetoxicum dalzellii
Ophiorrhiza tonglingensis
Ophiorrhiza glabra
Ophiorrhiza wongiana
Solenandra elliptica
Arachnothryx spectabilis
Scleromitrion neesianum
Eumachia triflora
Eumachia chlorocalyx
Eumachia longistylis
Ridsdalea anisophylloides
Hexaphylla hirsuta
Acranthera didymocarpa
Ruehssia neriifolia
Hexasepalum domingense
Mycetia clarkei
Marsdenia laurifolia
Monolluma hexagona
Asclepias sphacelata
Metagentiana alata
Papuahoya urniflora
Kutchubaea surinamensis
Jasminanthes maingayi
Urophyllum oresitrophum
Notopleura macrophylla
Mandevilla holosericea
Atractocarpus artensis
Mandevilla duidae
Pseudomiltemia filisepala
Chamaepentas graniticola
Ceropegia franksiae
Ceropegia remota
Ceropegia prostrata
Swertia coerulescens
Ceropegia cupulata
Ceropegia festucifolia
Ceropegia kituloana
Ceropegia blepharanthera
Ceropegia pulchellior
Ceropegia volubicaulis
Psychotria enneantha
Bullockia pseudosetiflora
Bungarimba sessiliflora
Steenisia pterosepala
Desmidorchis penicillata
Empogona concolor
Alyxia torquata
Gongronemopsis obscura
Ridsdalea pulcherrima
Eumachia obanensis
Guettardella ramosii
Palicourea arenosa
Palicourea pebasensis
Palicourea ernestii
Palicourea justiciifolia
Palicourea jenmanii
Palicourea schunkei
Palicourea huantensis
Palicourea diguana
Palicourea sandwithii
Palicourea ekmanii
Palicourea trichocephala
Palicourea crassifolia
Palicourea domatiata
Leichhardtia primulina
Leichhardtia lacicola
Leichhardtia racemosa
Gonolobus tetragonus
Gynochthodes ridsdalei
Phyllopentas schimperi
Talayotea trachyantha
Gymnema hamatum
Atractogyne bracteata
Vincetoxicum diplostigma
Vincetoxicum mukdenense
Vincetoxicum tanakae
Solenandra pervestita
Tainus pitreanus
Oldenlandia longifolia
Coutareopsis andrei
Pyrostria mandrarensis
Ruehssia cubensis
Ruehssia loniceroides
Conostomium longitubum
Monolluma quadrangula
Sherbournia batesii
Atrostemma hammelii
Atractocarpus brandzeanus
Cynanchum annularium
Cynanchum registanense
Cynanchum pichi-sermollianum
Cynanchum hemsleyanum
Ceropegia burchelliana
Ceropegia nepalensis
Swertia purpurascens
Ceropegia nanior
Ceropegia micriflora
Ceropegia kerrii
Ceropegia laevigata
Psychotria hymenodes
Psychotria ceratoloba
Cynanchica brachyphylla
Cynanchica abbreviata
Cynanchica samia
Eumachia collina
Scleromitrion thysanotum
Eumachia lanceifolia
Coelospermum fragrans
Eumachia nana
Palicourea polycephala
Palicourea duricoria
Palicourea steinbachii
Palicourea ostreophora
Palicourea schomburgkii
Palicourea coussareoides
Joosia loretensis
Palicourea carnosocarpa
Palicourea pleiocephala
Ibatia roulinioides
Palicourea speluncae
Palicourea croatii
Palicourea sanblasensis
Palicourea pariensis
Palicourea sphaerocephala
Cordiera longiflora
Pauridiantha ziamaeana
Spermacoce incognita
Leichhardtia poioensis
Macropharynx colombiana
Ramosmania heterophylla
Debia oligocephala
Centaurium intermedium
Geniostoma degeneri
Rustia condamineoides
Appunia calycina
Alstonia costata
Carapichea squamelligera
Alibertia dwyeri
Tapanhuacanga phyllocephala
Thliphthisa saxicola
Vincetoxicum clemensiae
Vincetoxicum longifolium
Vincetoxicum globiferum
Vincetoxicum insulicola
Vincetoxicum exile
Vincetoxicum costantinianum
Tricalysia coriacea
Vincetoxicum sinaicum
Orbea parviloba
Vincetoxicum schimperi
Vincetoxicum koi
Globulostylis leniochlamys
Ophiorrhiza darwinii
Ophiorrhiza scabrida
Ophiorrhiza chenii
Sabicea crystallina
Gentiana himalayensis
Cascabela thevetia
Scleromitrion cyananthum
Pteleocarpa lamponga
Ruehssia hilariana
Ruehssia guanchezii
Ruehssia hassleriana
Ruehssia asclepioidea
Ruehssia propinqua
Ruehssia fusca
Ruehssia calcaria
Ruehssia coulteri
Hexasepalum teres
Genianthus rectinervis
Coptosperma cymosum
Sherbournia curvipes
Atractocarpus sezitat
Atrostemma planiflorum
Cynanchum pulchellum
Ceropegia recurviloba
Ceropegia exilis
Ceropegia parvissima
Ceropegia villosa
Ceropegia mahendragiriensis
Swertia brownii
Psychotria spachiana
Psychotria myristica
Larryleachia sociarum
Cynanchica rumelica
Cynanchica suberosa
Cynanchica litardierei
Cynanchica affinis
Cynanchica aristata
Cynanchica pedicellata
Eumachia straminea
Palicourea croceovenosa
Palicourea valida
Palicourea pandensis
Palicourea steyermarkiana
Cordiera hadrantha
Stephanotis stelostigma
Polystemma cordatum
Leichhardtia archboldiana
Leichhardtia arachnoidea
Leichhardtia oubatchensis
Adina cordifolia
Geniostoma lorencianum
Leptadenia pyrotechnica
Carapichea sandwithiana
Tapanhuacanga schwackei
Mitragyna stipulosa
Globulostylis uncinula
Stenaria rupicola
Vincetoxicum villosum
Vincetoxicum yunnanense
Vincetoxicum elmeri
Vincetoxicum irrawadense
Cruciata elbrussica
Solenandra curbeloi
Ophiorrhiza quanzhouensis
× Orbelia tarantuloides
Exacum laxiflorum
Hexaphylla hirta
Ridsdalea kampucheana
Eumachia purariensis
Hexaphylla taygetea
Perakanthus longipetalus
Eumachia insidens
Scleromitrion largiflorens
Scleromitrion angustifolium
Chthamalia prostrata
Ruehssia undulata
Dibridsonia culionensis
Bouvardia perelegans
Symbolanthus anomalus
Pachypodium stenanthum
Cynanchum dimidiatum
Cynanchum bojerianum
Ceropegia shrirangii
Ceropegia bracteolata
Kadua munroi
Ceropegia circinata
Ceropegia bourneae
Ceropegia nallamalayana
Ceropegia differens
Psychotria andramontaensis
Asperula prostrata
Ixora foetida
Cynanchica biebersteinii
Hedyotis kamputensis
Cynanchica borbasiana
Cynanchica visianii
Gongronemopsis latifolia
Eumachia astrellantha
Guettardella livida
Palicourea psittacina
Palicourea parvibractea
Palicourea tapirapecoana
Palicourea quadribracteata
Palicourea jungiana
Palicourea trianae
Palicourea maguireorum
Palicourea glomerulata
Palicourea plusiantha
Ibatia foetida
Palicourea boyanii
Palicourea ramiflora
Palicourea oleandrella
Palicourea tristis
Palicourea moyobambana
Palicourea stipulosa
Palicourea amita
Petalostelma bracteolatum
Stephanotis ernstmeyeri
Stephanotis rubicunda
Leichhardtia brevifolia
Spermacoce velascoana
Spermacoce pohliana
Psydrax lanceolatus
Wrightia novobritannica
Wrightia antidysenterica
Lasianthus protractus
Tromotriche longipes
Tromotriche longii
Paralasianthus hainanensis
Bridsonia chamaedendrum
Carapichea araguariensis
Rudgea venezuelensis
Rudgea verticillata
Thliphthisa serotina
Thliphthisa crassula
Orbea mcloughlinii
Vincetoxicum yingii
Vincetoxicum chingtungense
Vincetoxicum tenerrimum
Vincetoxicum lancilimbum
Vincetoxicum conspicuum
Vincetoxicum augustinianum
Coutareopsis fuchsioides
Arachnothryx hondurensis
Ruehssia macfadyenii
Ruehssia fruticosa
Ruehssia calichicola
Ruehssia macrophylla
Ruehssia guaranitica
Schizocalyx cuspidatus
Artia brachycarpa
Finlaysonia curtisii
Atractocarpus macarthurii
Atrostemma costanense
Ceropegia elongata
Ceropegia filifolia
Ceropegia caffra
Ceropegia petrophila
Ceropegia kenyana
Ceropegia kolarensis
Psychotria mildbraedii
Ixora homolleae
Cynanchica diminuta
Cynanchica deficiens
Leptactina congolana
Cynanchica peloritana
Singaporandia macrophylla
Palicourea gonzalagunioides
Palicourea hirta
Palicourea blakei
Palicourea brevicollis
Palicourea sessilis
Palicourea conephoroides
Tacazzea rosmarinifolia
Palicourea adpressipilis
Palicourea falcata
Palicourea casiquiaria
Pectinaria maughanii
Seychellea sechellarum
Spermacoce ostenii
Argocoffeopsis pulchella
Ditrichanthus seemannii
Morinda chrysorhiza
Dimetia obliquinervis
Prestonia ornata
Kuepferia infelix
Helia alba
Kuepferia caryophyllea
Rudgea megalocarpa
Parainvolucrella scabra
Arcytophyllum fasciculatum
Tournefortiopsis conferta
Tournefortiopsis crassifolia
Vincetoxicum woollsii
Vincetoxicum potamophilum
Vincetoxicum dahomense
Diplospora bilocularis
Vincetoxicum splendidum
Vincetoxicum schneideri
Vincetoxicum tylophoroides
Vincetoxicum leptanthum
Vincetoxicum lugardiae
Ophiorrhiza seshagirii
Cruciata × grecescui
Melanoxerus suavissimus
Eumachia oddonii
Leptopetalum coreanum
Eumachia letouzeyi
Tabernanthe elliptica
Ruehssia tolimensis
Ruehssia xerohylica
Xanthophytum kinabaluense
Marsdenia guillauminiana
Urceola polyneura
Atrostemma acutissimum
Mandevilla kalmiifolia
Atractocarpus pancherianus
Sacleuxia tuberosa
Cynanchum ethiopicum
Rojasia gracilis
Peponidium homolleanum
Cynanchum thruppii
Ceropegia elliptica
Ceropegia thunbergii
Ceropegia breviflora
Ceropegia tenella
Ceropegia rubella
Psychotria andasibeensis
Cynanchica intersita
Cynanchica bornmuelleri
Cynanchica pinifolia
Paranotis kochiae
Eumachia inaequifolia
Guettardella inaequalis
Palicourea parimensis
Palicourea wurdackii
Palicourea farameoides
Palicourea schraderoides
Palicourea solitudinum
Palicourea cuspidulata
Vangueria venosa
Palicourea sousae
Palicourea hemicephaelis
Palicourea mortoniana
Palicourea erythrocephala
Palicourea embirensis
Palicourea allenii
Coussarea lutea
Palicourea concinna
Utania spicata
Matelea vailiana
Limahlania crenulata
Leichhardtia suaveolens
Leichhardtia speciosa
Leichhardtia tumida
Leichhardtia liisae
Spermacoce siberiana
Argocoffeopsis afzelii
Leichhardtia carrii
Leichhardtia divisicola
Leichhardtia lyonsioides
Achilleanthus ngoyensis
Achilleanthus smithii
Gonolobus pancololote
Morinda talmyi
Dischidia oblongata
Lasianthus viridiramulis
Alstonia longifolia
Cristobalia hirsutissima
Erithalis orbiculata
Villaria acutifolia
Rudgea citrifolia
Wendlandia densiflora
Thliphthisa muscosa
Gentianella pallide-lilacina
Wendlandia thyrsoidea
Vincetoxicum brownii
Vincetoxicum hookerianum
Vincetoxicum barbatum
Pyrostria revoluta
Ophiorrhiza xizangensis
Ophiorrhiza malipoensis
Ophiorrhiza guangdongensis
Solenandra polyphylla
Ophiorrhiza puffii
Ridsdalea forsteniana
Pervillaea decaryi
Ruehssia trisegmentata
Ruehssia longiflora
Canthiumera neilgherrensis
Rotundanthus fulvidus
Metastelma arenicola
Orinoquia yanomamica
Urophyllum leucocarpum
Cynanchum maximoviczii
Cynanchum unguiculatum
Ceropegia malawiensis
Ceropegia macropetala
Ceropegia waterbergensis
Ceropegia simplex
Psychotria tsimihetensis
Psychotria faramalala
Empogona talbotii
Alyxia samoensis
Cynanchica puberula
Crusea simplex
Cynanchica stricta
Gongronemopsis cavalieri
Hexaphylla capitata
Scleromitrion laceyi
Eumachia nutans
Eumachia savaiiensis
Pervillaea venenata
Pleioceras afzelii
Ruehssia astephanoides
Ruehssia beatricis
Ruehssia caatingae
Dibridsonia conferta
Ruehssia sessilifolia
Ruehssia laxiflora
Bouvardia candida
Symbolanthus daturoides
Urceola polymorpha
Coptosapelta olaciformis
Marsdenia stenocentra
Asclepias flanaganii
Uncaria angolensis
Urophyllum enneandrum
Sherbournia streptocaulon
Atractocarpus colnettianus
Peponidium carinatum
Cynanchum sahyadricum
Ceropegia parvior
Ceropegia browniana
Ceropegia glenensis
Ceropegia alpina
Psychotria kentii
Galium longipedunculatum
Minaria volubilis
Ixora roxburghii
Hedyotis ceylanica
Hedyotis leuserensis
Cynanchica neilreichii
Cynanchica sintenisii
Eumachia macrocarpa
Scleromitrion pauciflorum
Palicourea odorata
Palicourea microbotrys
Palicourea parajusticioides
Palicourea ceriantha
Coussarea insolita
Palicourea spectabilis
Palicourea pubescens
Palicourea richardiana
Palicourea racemosa
Palicourea chlorobotrya
Palicourea oblonga
Palicourea didymocarpos
Manostachya juncoides
Baissea calophylla
Leichhardtia lloydii
Leichhardtia brunnea
Leichhardtia flavida
Ancylobothrys petersiana
Debia andamanica
Helia grandiflora
Kuepferia chateri
Tromotriche aperta
Tarennoidea axillaris
Carapichea tillettii
Carapichea pacimonica
Prismatomeris khoonmengiana
Cyrtophyllum caudatum
Wendlandia psychotrioides
Gentianella vaginalis
Thliphthisa rigida
Vincetoxicum insigne
Vincetoxicum auriculatum
Vincetoxicum crassipes
Vincetoxicum membranaceum
Vincetoxicum lui
Vincetoxicum revolutum
Vincetoxicum simianum
Vincetoxicum hybanthera
Vincetoxicum zeylanicum
Vincetoxicum coloratum
Vincetoxicum lii
Vincetoxicum congolanum
Ophiorrhiza spathulata
Ophiorrhiza lui
Ophiorrhiza rubescens
Solenandra rotundata
Solenandra microcarpa
Solenandra longiflora
× Orbelia barklyi
Palicourea humboldtiana
Palicourea eggersii
Palicourea pilosa
Palicourea heteroneura
Palicourea prunifolia
Palicourea phaneroneura
Palicourea obliquinervia
Palicourea guaremalensis
Palicourea yneziae
Palicourea megacephala
Pauridiantha stipulosa
Spermacoce dasycephala
Leichhardtia neomicrostoma
Ancylobothrys capensis
Dischidia carinata
Vulcanoa steyermarkii
Gymnema longipedicellatum
Appunia aurantiaca
Exallage ulmifolia
Gentianella sancti-mathaeii
Thliphthisa chlorantha
Gentianella trichostemma
Diplospora negrosensis
Vincetoxicum rechingeri
Vincetoxicum glabriflorum
Vincetoxicum apiculatum
Myrmeconauclea rheophila
Coelospermum salomoniense
Scleromitrion verticillatum
Eumachia agustinae
Eumachia sclerocarpa
Ridsdalea daweishanensis
Eumachia goodenoughiensis
Chthamalia parviflora
Canthiumera siamensis
Ruehssia nitida
Ruehssia riparia
Ruehssia paganuccii
× Tridentapelia bijliae
Hexasepalum serrulatum
Acranthera nieuwenhuisii
Acranthera hallieri
Acranthera velutinervia
Laxoplumeria aberrans
Acranthera hoangii
Chthamalia biflora
Acranthera maculata
Pleioceras orientale
Acranthera collina
Acranthera endertii
Guettarda coatzacoalcensis
Acranthera burmanica
Acranthera parviflora
Mouretia tonkinensis
Acranthera tomentosa
Rhytidocaulon molamatarense
Chthamalia nummularia
Acranthera bullata
Acranthera monantha
Guettarda elongata
Mouretia oblanceolata
Chthamalia pedunculata
Acranthera hirtostipula
Acranthera johannis-winkleri
Involucrella lithophila
Acranthera atropella
Lisianthius spathulatus
Acranthera involucrata
Guettarda mollis
Lisianthius latifolius
Pleioceras zenkeri
Guettarda sotonunezii
Acranthera athroophlebia
Acranthera salmonea
Acranthera simalurensis
Bobea brevipes
Acranthera strigosa
Lisianthius habuensis
Pervillaea lanata
Acranthera ceylanica
Guettarda sierrae
Coutarea alba
Pervillaea phillipsonii
Lisianthius weaveri
Acranthera aurantiaca
Acranthera ruttenii
Acranthera sinensis
Lisianthius auriculatus
Lisianthius calciphilus
Chthamalia pubiflora
Lisianthius peduncularis
Lisianthius aurantiacus
Acranthera siliquosa
Pleioceras gilletii
Acranthera abbreviata
Acranthera lanceolata
Acranthera longipes
Acranthera ophiorhizoides
Acranthera axilliflora
Acranthera philippinensis
Lisianthius meianthus
Acranthera anamallica
Acranthera megaphylla
Acranthera yatesii
Laxoplumeria longipetiolata
Acranthera variegata
Laxoplumeria verticillata
Acranthera capitata
Coutaportla guatemalensis
Chomelia anisophylla
Ruehssia lindenii
Ruehssia sumiderensis
Ruehssia rotheana
Ruehssia yamanigueyensis
Forsteronia simulans
Diadorimia densifolia
Tocoyena prostrata
Ruehssia quirinopolensis
Ruehssia schlechteriana
Canthiumera robusta
Tocoyena sprucei
Ruehssia hiriartiana
Sommera cusucoana
Ruehssia callosa
Rytigynia mrimaensis
Tocoyena atlantica
Pentodon laurentioides
Ruehssia amorimii
Gomphocalyx herniarioides
Odontadenia chapadensis
Canthiumera glabra
Ruehssia altissima
Chomelia obtusa
Symbolanthus obscure-rosaceus
Bouvardia sinaloae
Catesbaea phyllacantha
Macrosphyra brachysiphon
Bouvardia fragilis
Bouvardia juarezana
Bouvardia lancifolia
Neobertiera pakaraimensis
Micrechites rhombifolius
Mycetia fangii
Neobertiera montedouradensis
Bouvardia tenuis
Mycetia dagohoyana
Coutoubea reflexa
Symbolanthus microphyllus
Hexasepalum zappiae
Hexasepalum angustifolium
Didymosalpinx callianthus
Voyria bicolor
Leptostigma longiflorum
Orthosia tomentosa
Atrostemma glaberrimum
Cynanchum somaliense
Ceropegia stellata
Ceropegia vartakii
Ceropegia pruinosior
Ceropegia plocamoides
Ceropegia ciliatior
Ceropegia barberae
Crawfurdia championii
Acunaeanthus tinifolius
Nephradenia laurifolium
Cynanchica ophiolitica
Cynanchica pulvinaris
Cynanchica malevonensis
Eumachia leptothyrsa
Hexaphylla hercegovina
Eumachia horsfieldiana
Guettardella atropurpurea
Nauclea pobeguinii
Wandersong seminervis
Guettardella sphaerocarpa
Vangueria induta
Heterostemma garrettii
Palicourea fanshawei
Palicourea cotejensis
Palicourea cerronis
Palicourea jervisei
Palicourea alba
Palicourea boraginoides
Palicourea canescens
Palicourea prancei
Palicourea ayangannensis
Cosmibuena matudae
Palicourea luteovirescens
Matelea geminiflora
Dictyanthus reticulatus
Leichhardtia glandulifera
Leichhardtia quadrata
Spermacoce rosea
Buchozia japonica
Rennellia wallichii
Timonius uniflorus
Corynanthe talbotii
Adina eurhyncha
Kuepferia leucantha
Helia angustifolia
Rudgea pungens
Carapichea vasivensis
Carapichea crebrinervia
Thliphthisa tournefortii
Thliphthisa brevifolia
Vincetoxicum petrense
Vincetoxicum longipes
Vincetoxicum hainanense
Ophiorrhiza laxiflora
Solenandra sanctae-luciae
Ophiorrhiza howii
Cruciata articulata
× Hoodiapelia beukmanii
Ophiorrhiza bremerae
Saba senegalensis
Ophiorrhiza longanensis
Anisopus magniflorus
Ridsdalea sootepensis
Eumachia wilhelminensis
Voyria crucitasensis
Cremaspora thomsonii
Hexasepalum nordestinum
Standleya glomerulata
Agathisanthemum assimile
Cladoceras rovumense
Conostomium gazense
Mycetia suedixieana
Voyria alvesiana
Macrosphyra brachystylis
Bouvardia obovata
Neobertiera micrantha
Oxypetalum brussae
Oxypetalum megapotamicum
Tarennella cordatifolia
Coptosapelta lutescens
Tarennella homolleana
Tarennella puberula
Pentagonia bocataurensis
Schizocalyx obovatus
Marsdenia stellaris
Oxypetalum timbense
Ditassa gardneri
Ditassa grandiflora
Oxypetalum nitidum
Tarennella sanguinea
Coptosapelta fuscescens
Rubia hispidicaulis
Pentagonia tapacula
Coptosapelta griffithii
Marsdenia sinensis
Carphalea linearifolia
Pentagonia imparipinnata
Ditassa violascens
Pentagonia gomez-lauritoi
Rubia occidens
Rubia manjith
Ditassa mattogrossensis
Ditassa salzmannii
Ditassa cangae
Ditassa ferricola
Tarenna harleyae
Pentagonia involucrata
Pentagonia tinajita
Oxypetalum schenckii
Tarennella coronata
Marsdenia peraffinis
Oxypetalum radinsii
Pentagonia grandiflora
Pentagonia parvifolia
Pentagonia clementinensis
Tarenna agnata
Pentagonia carniflora
Marsdenia ovata
Oxypetalum deltoideum
Pentagonia lanciloba
Oxypetalum subcapitatum
Homollea septentrionalis
Oxypetalum kassneri
Pentagonia gigantifolia
Marsdenia chirindensis
Coptosapelta hammii
Marsdenia burmanica
Pentagonia donnell-smithii
Pentagonia angustifolia
Oxypetalum subhirtellum
Marsdenia mayottae
Oxypetalum urceolatum
Marsdenia mahaweeensis
Coptosapelta valetonii
Rubia austrozhejiangensis
Pentagonia baumannii
Pentagonia australis
Marsdenia cyanescens
Coptosapelta janowskii
Schizocalyx truncatus
Marsdenia iriomotensis
Homollea furtiva
Pentagonia nuciformis
Pentagonia bonifaziana
Pentagonia breviloba
Pentagonia villosula
Oxypetalum globosum
Pentagonia spathicalyx
Pentagonia osaensis
Marsdenia cardozoi
Marsdenia carnosa
Coptosapelta maluensis
Marsdenia yarlungzangboensis
Oxypetalum venustum
Pentagonia sanblasensis
Marsdenia taylorii
Oxypetalum nanum
Oxypetalum marchesii
Carvalhoa macrophylla
Ditassa ramosa
Pentagonia gambagam
Coptosapelta beccarii
Coptosapelta carrii
Coptosapelta parviflora
Pentagonia rubriflora
Pentagonia wendlandii
Rubia pianmaensis
Urceola elastica
Pentagonia microcarpa
Rubia hangii
Pentagonia hirsuta
Pentagonia pachiteana
Marsdenia epedunculata
Coptosapelta laotica
Pentagonia wurdackii
Schizocalyx bracteosa
Pentagonia chocoensis
Pentagonia lobata
Pentagonia subauriculata
Rubia urceolata
Pentagonia dwyeriana
Pentagonia osapinnata
Pentagonia subsessilis
Schizocalyx condoricus
Ditassa lagoensis
Marsdenia cynanchoides
Oxypetalum erectum
Tarenna aurantiaca
Marsdenia thailandica
Pentagonia williamsii
Oxypetalum marianae
Oxypetalum glomeratum
Pentagonia magnifica
Pentagonia pinnatifida
Strychnos nana
Asclepias crassinervis
Asclepias ulophylla
Schradera cernua
Metastelma cordatifolium
Metastelma suaveolens
Asclepias ameliae
Metastelma chiapense
Asclepias senecionifolia
Metastelma blodgettii
Strychnos pubescens
Metastelma grandiflorum
Metastelma uncinatum
Pseudolachnostoma quinindense
Asclepias baumii
Metastelma albiflorum
Schradera morindoides
Schradera francoae
Strychnos gubleri
Pseudolachnostoma freirei
Blepharodon salicinum
Asclepias nuttii
Metastelma lanceolatum
Asclepias eastwoodiana
Strychnos myrioneura
Bousigonia mekongensis
Pseudolachnostoma ecuadorense
Metastelma liesnerianum
Asclepias subviridis
Blepharodon maigualidae
Schradera brasiliensis
Asclepias fulva
Schradera condorica
Phyllis viscosa
Metastelma bahamense
Alafia berrieri
Asclepias × kansana
Asclepias apocynifolia
Gyrostipula obtusa
Asclepias dinteri
Asclepias pygmaea
Pseudolachnostoma colombianum
Asclepias foliosa
Bousigonia tonkinensis
Jasminanthes borneensis
Urophyllum pulchristipulum
Jasminanthes xuanlienensis
Coccocypselum brevipetiolatum
Urophyllum pseudoschmidtii
Orthosia tarmensis
Deppea foliosa
Jasminanthes hosei
Urophyllum malayense
Jasminanthes sarawakensis
Sherbournia kiliotricha
Deppea oaxacana
Papuahoya bykulleana
Jasminanthes tuyetanhiae
Papuahoya neoguineensis
Jasminanthes kinabaluensis
Deppea guerrerensis
Urophyllum brochidodromum
Tangshuia pitouchaoensis
Houstonia sharpii
Leptostigma arnottianum
Rauvolfia decurva
Sherbournia buccularia
Schizozygia coffeoides
Leptostigma weberbaueri
Austrochthamalia teyucuarensis
Coccocypselum oblongatum
Deppea hernandezii
Jasminanthes laotica
Urophyllum bidoupense
Sherbournia zenkeri
Rauvolfia leucopoda
Sherbournia myosura
Rauvolfia obscura
Sherbournia ailarama
Bikkia montoyae
Leptostigma breviflorum
Deppea tubana
Houstonia prostrata
Notopleura sallydavidsoniae
Polysphaeria harrisii
Notopleura altsonii
Phialiphora glabrata
Boucerosia penduliflora
Riocreuxia bolusii
Frasera umpquaensis
Phialiphora valida
Artia amieuensis
Sipaneopsis duckei
Polysphaeria ribauensis
Beaumontia murtonii
Oncinotis gabonica
Boucerosia diffusa
Aleisanthia sylvatica
Mandevilla sherlockii
Cyclophyllum tieaense
Cyclophyllum letocartiorum
Cyclophyllum memaoyaense
Cyclophyllum macphersonii
Hippotis vasqueziana
Manothrix nodosa
Mandevilla apocynifolia
Hippotis elegantula
Gymnemopsis pierrei
Chiococca grandiflora
Chiococca semipilosa
Gymnemopsis calcicola
Gymnemopsis phuwuaensis
Atrostemma xerophilum
Melodinus erianthus
Mandevilla manicorensis
Melodinus orientalis
Hippotis ecuatoriana
Mandevilla jasminiflora
Mandevilla platydactyla
Mandevilla bullata
Mandevilla sagittarii
Oxystelma bornouense
Cyclophyllum pindaiense
Hippotis hirsutissima
Mandevilla athenastigma
Mandevilla grata
Stelmagonum hahnianum
Mandevilla arenicola
Cyclophyllum guillauminianum
Cyclophyllum tiebaghiense
Hippotis antioquiana
Hippotis brevistipula
Isertia psammophila
Gardenia brevicalyx
Kraussia speciosa
Lathraeocarpa acicularis
Pentasacme tubulosum
Telosma thailandica
Cynanchum balense
Cynanchum tamense
Cynanchum doleriticum
Kraussia socotrana
Cynanchum hubeiense
Cynanchum gonoloboides
Gardenia kabaenensis
Gardenia reflexisepala
Pentasacme malipoense
Cynanchum subpaniculatum
Cynanchum olimpanjehy
Cynanchum pusilum
Cynanchum brevipedunculatum
Kraussia floribunda
Gardenia manongarivensis
Lomatogonium cherukurianum
Cynanchum subtilis
Cynanchum magale
Cynanchum alatum
Cynanchum gracillimum
Gardenia longistipula
Cynanchum elegans
Cynanchum liukiuense
Mitrasacme thedae
Cynanchum quangbinhense
Cynanchum peraffine
Cynanchum marnierianum
Etericius parasiticus
Rondeletia avenia
Rondeletia ingrata
Cynanchum pamirense
Lomatogoniopsis ovatifolia
Neoschumannia gishwatiensis
Cynanchum heydei
Lathraeocarpa decaryi
Staelia schumannii
Cynanchum mariquitense
Cynanchum boveanum
Cynanchum defilippii
Lomatogoniopsis galeiformis
Lomatogonium gaurgopalii
Cynanchum acuminatum
Cynanchum puberulum
Gardenia sambiranensis
Ceropegia cataphyllaris
Ceropegia tanzaniensis
Retiniphyllum francoanum
Ceropegia khasiana
Ceriscoides glabra
Swertia punctata
Ceropegia oiantha
Mantalania capuronii
Ceropegia glabriflora
Ceropegia collaricorona
Ceropegia ravikumariana
Ceropegia phuchongensis
